Company,Agent ID,Agent Name,Call ID,Customer ID,Call Start Time,Call End Time,Call Duration (seconds),Timestamp,Call Status,Call Type,Language,Region,Queue Name,Resolution Status,Hold Time (seconds),Talk Time (seconds),Wrap-up Time (seconds)
CloudTech,Unknown,Unknown,CALL-100027,CUST-8723,2026-07-03 13:32:50,2026-07-03 13:32:55,5,2026-07-03 13:32:50,Missed,Inbound,Hindi,North,General Sales,Unresolved,0,0,0
EcoEnergy,E501,Molly Hooper,CALL-100028,CUST-4974,2026-07-12 06:01:50,2026-07-12 06:05:49,239,2026-07-12 06:01:50,Answered,Inbound,Spanish,South,Tech Support,Resolved,15,215,9
DeltaFinance,D402,Karen Page,CALL-100029,CUST-6104,2026-07-21 08:10:28,2026-07-21 08:12:21,113,2026-07-21 08:10:28,Answered,Inbound,French,East,Billing,Resolved,51,46,16
EcoEnergy,E501,Molly Hooper,CALL-100030,CUST-1395,2026-07-13 14:34:40,2026-07-13 14:39:22,282,2026-07-13 14:34:40,Answered,Inbound,English,East,Account Queries,Resolved,10,263,9
EcoEnergy,E501,Molly Hooper,CALL-100031,CUST-8266,2026-07-19 05:06:27,2026-07-19 05:06:50,23,2026-07-19 05:06:27,Dropped,Outbound,German,South,Tech Support,Unresolved,0,0,0
DeltaFinance,Unknown,Unknown,CALL-100032,CUST-7541,2026-07-20 13:35:52,2026-07-20 13:36:09,17,2026-07-20 13:35:52,Missed,Outbound,Hindi,Central,Billing,Unresolved,0,0,0
BioHealth,B201,Diana Prince,CALL-100033,CUST-7938,2026-07-03 16:42:10,2026-07-03 16:44:42,152,2026-07-03 16:42:10,Answered,Inbound,English,South,Billing,Unresolved,21,130,1
BioHealth,B202,Evan Wright,CALL-100034,CUST-4141,2026-07-05 11:37:18,2026-07-05 11:41:08,230,2026-07-05 11:37:18,Answered,Outbound,French,Central,Account Queries,Escalated,31,194,5
DeltaFinance,D403,Leo Fitz,CALL-100035,CUST-4072,2026-07-19 15:53:38,2026-07-19 15:56:32,174,2026-07-19 15:53:38,Answered,Outbound,German,West,General Sales,Resolved,1,161,12
CloudTech,C301,George Clark,CALL-100036,CUST-6348,2026-07-17 05:32:37,2026-07-17 05:36:49,252,2026-07-17 05:32:37,Answered,Outbound,Spanish,Central,Account Queries,Resolved,57,179,16
DeltaFinance,D403,Leo Fitz,CALL-100037,CUST-6063,2026-07-19 20:17:46,2026-07-19 20:22:53,307,2026-07-19 20:17:46,Answered,Inbound,Hindi,West,Account Queries,Resolved,9,252,46
DeltaFinance,D401,Jack Ryan,CALL-100038,CUST-7132,2026-07-08 07:35:25,2026-07-08 07:40:25,300,2026-07-08 07:35:25,Answered,Inbound,English,East,Tech Support,Resolved,4,288,8
DeltaFinance,Unknown,Unknown,CALL-100039,CUST-3871,2026-07-16 06:45:34,2026-07-16 06:45:43,9,2026-07-16 06:45:34,Missed,Outbound,Hindi,North,Billing,Unresolved,0,0,0
BioHealth,Unknown,Unknown,CALL-100040,CUST-8449,2026-07-13 06:55:32,2026-07-13 06:55:51,19,2026-07-13 06:55:32,Missed,Inbound,Spanish,North,Tech Support,Unresolved,0,0,0
AeroCorp,A102,Bob Johnson,CALL-100041,CUST-5809,2026-07-17 15:33:40,2026-07-17 15:39:38,358,2026-07-17 15:33:40,Answered,Inbound,German,Central,Tech Support,Escalated,0,195,163
BioHealth,B203,Fiona Gallagher,CALL-100042,CUST-8239,2026-07-17 07:08:45,2026-07-17 07:12:48,243,2026-07-17 07:08:45,Answered,Inbound,French,South,General Sales,Unresolved,3,198,42
BioHealth,B202,Evan Wright,CALL-100043,CUST-7881,2026-07-02 10:02:58,2026-07-02 10:06:25,207,2026-07-02 10:02:58,Answered,Outbound,Spanish,South,General Sales,Unresolved,51,146,10
BioHealth,B202,Evan Wright,CALL-100044,CUST-5854,2026-07-18 09:26:50,2026-07-18 09:27:00,10,2026-07-18 09:26:50,Dropped,Inbound,French,North,Billing,Unresolved,0,0,0
BioHealth,B203,Fiona Gallagher,CALL-100045,CUST-6569,2026-07-17 18:03:09,2026-07-17 18:03:33,24,2026-07-17 18:03:09,Dropped,Inbound,Hindi,Central,Billing,Unresolved,0,0,0
EcoEnergy,E502,Nathan Drake,CALL-100046,CUST-9472,2026-07-11 12:10:50,2026-07-11 12:16:45,355,2026-07-11 12:10:50,Answered,Inbound,French,West,Account Queries,Resolved,13,332,10
CloudTech,Unknown,Unknown,CALL-100047,CUST-7376,2026-07-18 12:50:18,2026-07-18 12:50:32,14,2026-07-18 12:50:18,Missed,Inbound,German,Central,Billing,Unresolved,0,0,0
DeltaFinance,D402,Karen Page,CALL-100048,CUST-2276,2026-07-14 09:13:25,2026-07-14 09:16:48,203,2026-07-14 09:13:25,Answered,Inbound,English,Central,Billing,Escalated,24,138,41
DeltaFinance,D403,Leo Fitz,CALL-100049,CUST-1918,2026-07-15 09:21:13,2026-07-15 09:25:01,228,2026-07-15 09:21:13,Answered,Inbound,Spanish,East,General Sales,Resolved,9,192,27
CloudTech,C303,Ian Malcolm,CALL-100050,CUST-4596,2026-07-13 16:37:34,2026-07-13 16:41:45,251,2026-07-13 16:37:34,Answered,Inbound,English,West,Tech Support,Resolved,20,195,36
DeltaFinance,D401,Jack Ryan,CALL-100051,CUST-3472,2026-07-04 08:40:44,2026-07-04 08:43:02,138,2026-07-04 08:40:44,Answered,Inbound,Spanish,West,Billing,Resolved,20,102,16
EcoEnergy,E502,Nathan Drake,CALL-100052,CUST-4735,2026-07-20 13:33:58,2026-07-20 13:36:52,174,2026-07-20 13:33:58,Answered,Outbound,Spanish,West,Billing,Resolved,13,158,3
AeroCorp,A103,Charlie Brown,CALL-100053,CUST-9195,2026-07-03 11:39:36,2026-07-03 11:39:42,6,2026-07-03 11:39:36,Dropped,Inbound,French,West,General Sales,Unresolved,0,0,0
AeroCorp,A102,Bob Johnson,CALL-100054,CUST-1224,2026-07-06 13:56:01,2026-07-06 13:59:19,198,2026-07-06 13:56:01,Answered,Inbound,Spanish,West,Account Queries,Resolved,4,165,29
DeltaFinance,D401,Jack Ryan,CALL-100055,CUST-3219,2026-07-12 06:25:13,2026-07-12 06:31:03,350,2026-07-12 06:25:13,Answered,Inbound,German,South,General Sales,Resolved,2,347,1
BioHealth,B201,Diana Prince,CALL-100056,CUST-1235,2026-07-08 15:00:36,2026-07-08 15:02:26,110,2026-07-08 15:00:36,Answered,Inbound,German,North,Billing,Unresolved,9,83,18
BioHealth,B202,Evan Wright,CALL-100057,CUST-3898,2026-07-21 14:08:33,2026-07-21 14:13:06,273,2026-07-21 14:08:33,Answered,Inbound,Spanish,West,Tech Support,Unresolved,20,250,3
CloudTech,C302,Hannah Abbott,CALL-100058,CUST-3192,2026-07-04 08:41:24,2026-07-04 08:45:42,258,2026-07-04 08:41:24,Answered,Inbound,English,North,Tech Support,Resolved,18,195,45
AeroCorp,A103,Charlie Brown,CALL-100059,CUST-9669,2026-07-02 11:39:39,2026-07-02 11:41:54,135,2026-07-02 11:39:39,Answered,Inbound,English,Central,Account Queries,Unresolved,42,91,2
CloudTech,C301,George Clark,CALL-100060,CUST-7371,2026-07-06 14:36:26,2026-07-06 14:41:14,288,2026-07-06 14:36:26,Answered,Inbound,German,North,General Sales,Unresolved,12,248,28
EcoEnergy,E503,Oliver Queen,CALL-100061,CUST-7166,2026-07-08 06:46:03,2026-07-08 06:49:47,224,2026-07-08 06:46:03,Answered,Outbound,Hindi,East,Account Queries,Resolved,15,204,5
BioHealth,B202,Evan Wright,CALL-100062,CUST-4876,2026-07-11 06:12:39,2026-07-11 06:18:12,333,2026-07-11 06:12:39,Answered,Inbound,French,West,Tech Support,Escalated,0,292,41
BioHealth,B201,Diana Prince,CALL-100063,CUST-4417,2026-07-09 09:28:13,2026-07-09 09:28:40,27,2026-07-09 09:28:13,Dropped,Outbound,German,North,Tech Support,Unresolved,0,0,0
DeltaFinance,D402,Karen Page,CALL-100064,CUST-8973,2026-07-01 16:54:50,2026-07-01 16:58:54,244,2026-07-01 16:54:50,Answered,Inbound,English,West,Billing,Resolved,0,244,0
BioHealth,B203,Fiona Gallagher,CALL-100065,CUST-7320,2026-07-18 10:26:16,2026-07-18 10:29:22,186,2026-07-18 10:26:16,Answered,Inbound,German,West,Account Queries,Resolved,36,145,5
EcoEnergy,E503,Oliver Queen,CALL-100066,CUST-3482,2026-07-11 12:27:49,2026-07-11 12:31:21,212,2026-07-11 12:27:49,Answered,Inbound,English,North,Account Queries,Escalated,48,163,1
CloudTech,C303,Ian Malcolm,CALL-100067,CUST-6797,2026-07-17 04:29:15,2026-07-17 04:31:42,147,2026-07-17 04:29:15,Answered,Inbound,English,West,Billing,Resolved,22,113,12
CloudTech,C303,Ian Malcolm,CALL-100068,CUST-1054,2026-07-04 07:28:54,2026-07-04 07:29:08,14,2026-07-04 07:28:54,Dropped,Inbound,Hindi,East,Account Queries,Unresolved,0,0,0
DeltaFinance,D402,Karen Page,CALL-100069,CUST-6207,2026-07-07 13:00:56,2026-07-07 13:04:01,185,2026-07-07 13:00:56,Answered,Inbound,Spanish,South,Account Queries,Resolved,16,148,21
CloudTech,C301,George Clark,CALL-100070,CUST-5177,2026-07-21 09:54:47,2026-07-21 09:59:12,265,2026-07-21 09:54:47,Answered,Inbound,French,East,Tech Support,Resolved,19,209,37
BioHealth,Unknown,Unknown,CALL-100071,CUST-1804,2026-07-15 12:10:41,2026-07-15 12:11:08,27,2026-07-15 12:10:41,Missed,Inbound,French,West,Tech Support,Unresolved,0,0,0
AeroCorp,Unknown,Unknown,CALL-100072,CUST-4186,2026-07-21 08:51:57,2026-07-21 08:52:11,14,2026-07-21 08:51:57,Missed,Inbound,English,East,Billing,Unresolved,0,0,0
AeroCorp,A102,Bob Johnson,CALL-100073,CUST-6475,2026-07-09 11:44:24,2026-07-09 11:47:55,211,2026-07-09 11:44:24,Answered,Inbound,Hindi,East,Account Queries,Resolved,27,181,3
AeroCorp,Unknown,Unknown,CALL-100074,CUST-1645,2026-07-02 11:24:37,2026-07-02 11:24:51,14,2026-07-02 11:24:37,Missed,Inbound,Spanish,Central,Tech Support,Unresolved,0,0,0
CloudTech,C302,Hannah Abbott,CALL-100075,CUST-2386,2026-07-12 12:52:06,2026-07-12 12:56:02,236,2026-07-12 12:52:06,Answered,Outbound,French,South,Billing,Resolved,7,200,29
AeroCorp,A103,Charlie Brown,CALL-100076,CUST-8715,2026-07-21 12:25:28,2026-07-21 12:27:51,143,2026-07-21 12:25:28,Answered,Inbound,English,Central,Billing,Resolved,6,121,16
DeltaFinance,D403,Leo Fitz,CALL-100077,CUST-1060,2026-07-03 15:16:58,2026-07-03 15:21:25,267,2026-07-03 15:16:58,Answered,Inbound,English,North,Tech Support,Resolved,22,243,2
CloudTech,C302,Hannah Abbott,CALL-100078,CUST-8982,2026-07-07 05:49:36,2026-07-07 05:52:49,193,2026-07-07 05:49:36,Answered,Outbound,Hindi,North,Tech Support,Escalated,0,161,32
DeltaFinance,Unknown,Unknown,CALL-100079,CUST-6387,2026-07-16 16:07:30,2026-07-16 16:07:56,26,2026-07-16 16:07:30,Missed,Inbound,Hindi,North,Tech Support,Unresolved,0,0,0
CloudTech,C302,Hannah Abbott,CALL-100080,CUST-9007,2026-07-09 18:46:31,2026-07-09 18:49:09,158,2026-07-09 18:46:31,Answered,Outbound,English,Central,General Sales,Escalated,2,140,16
BioHealth,B203,Fiona Gallagher,CALL-100081,CUST-3983,2026-07-18 14:51:38,2026-07-18 14:53:52,134,2026-07-18 14:51:38,Answered,Inbound,German,East,General Sales,Resolved,15,103,16
BioHealth,B203,Fiona Gallagher,CALL-100082,CUST-9930,2026-07-12 12:55:48,2026-07-12 13:00:46,298,2026-07-12 12:55:48,Answered,Inbound,Hindi,West,General Sales,Resolved,20,264,14
BioHealth,Unknown,Unknown,CALL-100083,CUST-9436,2026-07-13 11:31:31,2026-07-13 11:31:55,24,2026-07-13 11:31:31,Missed,Outbound,English,Central,Tech Support,Unresolved,0,0,0
DeltaFinance,Unknown,Unknown,CALL-100084,CUST-4760,2026-07-16 16:46:56,2026-07-16 16:47:07,11,2026-07-16 16:46:56,Missed,Inbound,German,West,Tech Support,Unresolved,0,0,0
CloudTech,C301,George Clark,CALL-100085,CUST-5805,2026-07-14 08:49:03,2026-07-14 08:51:54,171,2026-07-14 08:49:03,Answered,Inbound,German,Central,Tech Support,Escalated,4,165,2
CloudTech,C302,Hannah Abbott,CALL-100086,CUST-1824,2026-07-13 22:06:51,2026-07-13 22:09:30,159,2026-07-13 22:06:51,Answered,Inbound,Spanish,South,Billing,Unresolved,27,127,5
BioHealth,Unknown,Unknown,CALL-100087,CUST-2913,2026-07-17 19:55:05,2026-07-17 19:55:32,27,2026-07-17 19:55:05,Missed,Inbound,English,North,General Sales,Unresolved,0,0,0
AeroCorp,A101,Alice Smith,CALL-100088,CUST-8490,2026-07-10 11:17:16,2026-07-10 11:20:48,212,2026-07-10 11:17:16,Answered,Outbound,Spanish,South,Tech Support,Resolved,3,192,17
CloudTech,C301,George Clark,CALL-100089,CUST-6295,2026-07-09 04:33:11,2026-07-09 04:35:46,155,2026-07-09 04:33:11,Answered,Inbound,Spanish,West,Tech Support,Resolved,40,89,26
BioHealth,Unknown,Unknown,CALL-100090,CUST-3745,2026-07-06 19:47:12,2026-07-06 19:47:34,22,2026-07-06 19:47:12,Missed,Outbound,German,Central,General Sales,Unresolved,0,0,0
CloudTech,Unknown,Unknown,CALL-100091,CUST-2704,2026-07-08 11:44:32,2026-07-08 11:44:44,12,2026-07-08 11:44:32,Missed,Outbound,English,West,General Sales,Unresolved,0,0,0
EcoEnergy,E503,Oliver Queen,CALL-100092,CUST-9780,2026-07-13 13:41:35,2026-07-13 13:44:41,186,2026-07-13 13:41:35,Answered,Outbound,Hindi,West,Billing,Resolved,2,157,27
EcoEnergy,E503,Oliver Queen,CALL-100093,CUST-2007,2026-07-02 08:45:26,2026-07-02 08:45:32,6,2026-07-02 08:45:26,Dropped,Inbound,German,West,General Sales,Unresolved,0,0,0
CloudTech,C302,Hannah Abbott,CALL-100094,CUST-2040,2026-07-07 11:31:33,2026-07-07 11:34:24,171,2026-07-07 11:31:33,Answered,Inbound,Hindi,West,Account Queries,Escalated,40,129,2
DeltaFinance,D402,Karen Page,CALL-100095,CUST-4356,2026-07-17 12:00:21,2026-07-17 12:03:45,204,2026-07-17 12:00:21,Answered,Inbound,English,East,Billing,Resolved,30,146,28
DeltaFinance,Unknown,Unknown,CALL-100096,CUST-6658,2026-07-03 10:38:14,2026-07-03 10:38:38,24,2026-07-03 10:38:14,Missed,Inbound,French,South,Billing,Unresolved,0,0,0
CloudTech,C301,George Clark,CALL-100097,CUST-6626,2026-07-12 03:28:20,2026-07-12 03:28:44,24,2026-07-12 03:28:20,Dropped,Outbound,English,East,Tech Support,Unresolved,0,0,0
AeroCorp,A102,Bob Johnson,CALL-100098,CUST-4380,2026-07-06 07:34:48,2026-07-06 07:38:51,243,2026-07-06 07:34:48,Answered,Inbound,English,North,Tech Support,Escalated,29,202,12
CloudTech,C302,Hannah Abbott,CALL-100099,CUST-2763,2026-07-18 14:02:28,2026-07-18 14:07:33,305,2026-07-18 14:02:28,Answered,Inbound,French,North,Account Queries,Resolved,38,254,13
AeroCorp,A102,Bob Johnson,CALL-100100,CUST-2389,2026-07-16 10:21:53,2026-07-16 10:26:53,300,2026-07-16 10:21:53,Answered,Inbound,Hindi,Central,Billing,Resolved,8,209,83
CloudTech,C301,George Clark,CALL-100101,CUST-9905,2026-07-01 18:40:07,2026-07-01 18:43:18,191,2026-07-01 18:40:07,Answered,Outbound,French,West,Tech Support,Resolved,2,189,0
BioHealth,B201,Diana Prince,CALL-100102,CUST-4041,2026-07-02 11:40:12,2026-07-02 11:42:30,138,2026-07-02 11:40:12,Answered,Outbound,Hindi,South,Billing,Escalated,6,125,7
BioHealth,Unknown,Unknown,CALL-100103,CUST-6383,2026-07-12 06:10:02,2026-07-12 06:10:15,13,2026-07-12 06:10:02,Missed,Inbound,Hindi,North,Account Queries,Unresolved,0,0,0
BioHealth,B202,Evan Wright,CALL-100104,CUST-8179,2026-07-20 08:58:06,2026-07-20 09:01:12,186,2026-07-20 08:58:06,Answered,Inbound,Hindi,East,Billing,Resolved,13,173,0
DeltaFinance,D401,Jack Ryan,CALL-100105,CUST-8057,2026-07-13 12:18:54,2026-07-13 12:24:04,310,2026-07-13 12:18:54,Answered,Outbound,Hindi,West,Billing,Resolved,30,269,11
CloudTech,C302,Hannah Abbott,CALL-100106,CUST-4453,2026-07-05 23:40:58,2026-07-05 23:44:39,221,2026-07-05 23:40:58,Answered,Inbound,French,Central,Tech Support,Unresolved,17,164,40
DeltaFinance,D402,Karen Page,CALL-100107,CUST-5732,2026-07-17 11:40:35,2026-07-17 11:42:25,110,2026-07-17 11:40:35,Answered,Inbound,Spanish,South,General Sales,Unresolved,13,79,18
DeltaFinance,D403,Leo Fitz,CALL-100108,CUST-5648,2026-07-13 10:20:14,2026-07-13 10:25:09,295,2026-07-13 10:20:14,Answered,Outbound,German,Central,Billing,Resolved,7,279,9
DeltaFinance,D401,Jack Ryan,CALL-100109,CUST-6543,2026-07-15 12:38:24,2026-07-15 12:43:02,278,2026-07-15 12:38:24,Answered,Inbound,German,East,Tech Support,Resolved,15,256,7
DeltaFinance,D401,Jack Ryan,CALL-100110,CUST-1575,2026-07-15 07:09:02,2026-07-15 07:11:27,145,2026-07-15 07:09:02,Answered,Inbound,English,West,Tech Support,Resolved,8,126,11
DeltaFinance,D401,Jack Ryan,CALL-100111,CUST-2939,2026-07-11 14:36:11,2026-07-11 14:40:17,246,2026-07-11 14:36:11,Answered,Outbound,Spanish,West,Tech Support,Unresolved,24,205,17
BioHealth,B202,Evan Wright,CALL-100112,CUST-1125,2026-07-02 06:36:19,2026-07-02 06:39:56,217,2026-07-02 06:36:19,Answered,Inbound,Spanish,South,General Sales,Resolved,3,191,23
BioHealth,B201,Diana Prince,CALL-100113,CUST-2969,2026-07-18 20:38:30,2026-07-18 20:40:57,147,2026-07-18 20:38:30,Answered,Inbound,French,Central,Account Queries,Resolved,6,126,15
BioHealth,B203,Fiona Gallagher,CALL-100114,CUST-8705,2026-07-08 20:00:54,2026-07-08 20:05:32,278,2026-07-08 20:00:54,Answered,Inbound,Hindi,South,Billing,Escalated,30,212,36
AeroCorp,A103,Charlie Brown,CALL-100115,CUST-1703,2026-07-08 15:03:32,2026-07-08 15:06:23,171,2026-07-08 15:03:32,Answered,Outbound,Hindi,West,Billing,Resolved,26,124,21
AeroCorp,A101,Alice Smith,CALL-100116,CUST-2000,2026-07-09 23:12:08,2026-07-09 23:17:13,305,2026-07-09 23:12:08,Answered,Inbound,Hindi,South,Tech Support,Resolved,1,253,51
CloudTech,C301,George Clark,CALL-100117,CUST-2440,2026-07-11 09:53:06,2026-07-11 09:57:03,237,2026-07-11 09:53:06,Answered,Inbound,German,West,Tech Support,Resolved,6,221,10
AeroCorp,A101,Alice Smith,CALL-100118,CUST-2177,2026-07-03 07:25:10,2026-07-03 07:26:48,98,2026-07-03 07:25:10,Answered,Inbound,German,West,Tech Support,Resolved,14,45,39
AeroCorp,A101,Alice Smith,CALL-100119,CUST-1406,2026-07-02 11:14:43,2026-07-02 11:17:40,177,2026-07-02 11:14:43,Answered,Inbound,German,East,Tech Support,Unresolved,11,139,27
CloudTech,C303,Ian Malcolm,CALL-100120,CUST-4610,2026-07-16 13:59:14,2026-07-16 14:02:04,170,2026-07-16 13:59:14,Answered,Outbound,French,Central,Billing,Resolved,0,168,2
EcoEnergy,E503,Oliver Queen,CALL-100121,CUST-8052,2026-07-03 12:41:35,2026-07-03 12:46:38,303,2026-07-03 12:41:35,Answered,Inbound,Hindi,West,General Sales,Resolved,56,213,34
AeroCorp,A102,Bob Johnson,CALL-100122,CUST-4097,2026-07-10 17:19:03,2026-07-10 17:21:09,126,2026-07-10 17:19:03,Answered,Outbound,French,Central,Tech Support,Resolved,7,119,0
AeroCorp,A103,Charlie Brown,CALL-100123,CUST-7674,2026-07-10 07:56:41,2026-07-10 07:56:50,9,2026-07-10 07:56:41,Dropped,Inbound,Hindi,West,Account Queries,Unresolved,0,0,0
DeltaFinance,D403,Leo Fitz,CALL-100124,CUST-9853,2026-07-10 15:18:35,2026-07-10 15:21:46,191,2026-07-10 15:18:35,Answered,Inbound,German,North,Tech Support,Unresolved,2,184,5
EcoEnergy,E503,Oliver Queen,CALL-100125,CUST-7780,2026-07-03 12:31:10,2026-07-03 12:34:43,213,2026-07-03 12:31:10,Answered,Inbound,Hindi,East,Billing,Resolved,13,198,2
AeroCorp,A101,Alice Smith,CALL-100126,CUST-1072,2026-07-11 23:59:45,2026-07-12 00:03:02,197,2026-07-11 23:59:45,Answered,Outbound,English,Central,Account Queries,Resolved,12,179,6
AeroCorp,A103,Charlie Brown,CALL-100127,CUST-8426,2026-07-06 08:03:12,2026-07-06 08:07:32,260,2026-07-06 08:03:12,Answered,Inbound,German,West,Billing,Resolved,24,194,42
BioHealth,B203,Fiona Gallagher,CALL-100128,CUST-4374,2026-07-12 13:16:34,2026-07-12 13:18:16,102,2026-07-12 13:16:34,Answered,Inbound,German,Central,General Sales,Escalated,0,86,16
AeroCorp,Unknown,Unknown,CALL-100129,CUST-2679,2026-07-16 09:29:56,2026-07-16 09:30:16,20,2026-07-16 09:29:56,Missed,Inbound,French,West,General Sales,Unresolved,0,0,0
EcoEnergy,E503,Oliver Queen,CALL-100130,CUST-7549,2026-07-19 06:04:19,2026-07-19 06:04:48,29,2026-07-19 06:04:19,Dropped,Inbound,French,Central,Billing,Unresolved,0,0,0
BioHealth,B203,Fiona Gallagher,CALL-100131,CUST-6962,2026-07-01 12:11:37,2026-07-01 12:14:06,149,2026-07-01 12:11:37,Answered,Inbound,English,North,Tech Support,Resolved,1,139,9
